char	count	code	unicode_hex	name	script	cat	bytes	bidi	combining	eaw	mirrored
ἦ	4431	7974	1F26	GREEK SMALL LETTER ETA WITH PSILI AND PERISPOMENI	Greek	Ll	3	L	0	N	0
基	4403	22522	57FA	CJK UNIFIED IDEOGRAPH-57FA	Han	Lo	3	L	0	W	0
ᤈ	4401	6408	1908	LIMBU LETTER JA	Limbu	Lo	3	L	0	N	0
同	4367	21516	540C	CJK UNIFIED IDEOGRAPH-540C	Han	Lo	3	L	0	W	0
ፌ	4362	4940	134C	ETHIOPIC SYLLABLE FEE	Ethiopic	Lo	3	L	0	N	0
Ф	4360	1060	424	CYRILLIC CAPITAL LETTER EF	Cyrillic	Lu	2	L	0	A	0
ཎ	4360	3918	F4E	TIBETAN LETTER NNA	Tibetan	Lo	3	L	0	N	0
ಉ	4354	3209	C89	KANNADA LETTER U	Kannada	Lo	3	L	0	N	0
Ì	4347	204	CC	LATIN CAPITAL LETTER I WITH GRAVE	Latin	Lu	2	L	0	N	0
り	4344	12426	308A	HIRAGANA LETTER RI	Hiragana	Lo	3	L	0	W	0
ὕ	4321	8021	1F55	GREEK SMALL LETTER UPSILON WITH DASIA AND OXIA	Greek	Ll	3	L	0	N	0
生	4297	29983	751F	CJK UNIFIED IDEOGRAPH-751F	Han	Lo	3	L	0	W	0
ઠ	4271	2720	AA0	GUJARATI LETTER TTHA	Gujarati	Lo	3	L	0	N	0
向	4269	21521	5411	CJK UNIFIED IDEOGRAPH-5411	Han	Lo	3	L	0	W	0
ఞ	4269	3102	C1E	TELUGU LETTER NYA	Telugu	Lo	3	L	0	N	0
法	4256	27861	6CD5	CJK UNIFIED IDEOGRAPH-6CD5	Han	Lo	3	L	0	W	0
拉	4255	25289	62C9	CJK UNIFIED IDEOGRAPH-62C9	Han	Lo	3	L	0	W	0
ỉ	4242	7881	1EC9	LATIN SMALL LETTER I WITH HOOK ABOVE	Latin	Ll	3	L	0	N	0
ǔ	4236	468	1D4	LATIN SMALL LETTER U WITH CARON	Latin	Ll	2	L	0	A	0
^	4214	94	5E	CIRCUMFLEX ACCENT	Common	Sk	1	ON	0	Na	0
̥	4213	805	325	COMBINING RING BELOW	Inherited	Mn	2	NSM	220	A	0
ྀ	4213	3968	F80	TIBETAN VOWEL SIGN REVERSED I	Tibetan	Mn	3	NSM	130	N	0
言	4212	35328	8A00	CJK UNIFIED IDEOGRAPH-8A00	Han	Lo	3	L	0	W	0
ឫ	4212	6059	17AB	KHMER INDEPENDENT VOWEL RY	Khmer	Lo	3	L	0	N	0
さ	4199	12373	3055	HIRAGANA LETTER SA	Hiragana	Lo	3	L	0	W	0
ӯ	4177	1263	4EF	CYRILLIC SMALL LETTER U WITH MACRON	Cyrillic	Ll	2	L	0	N	0
ၖ	4171	4182	1056	MYANMAR VOWEL SIGN VOCALIC R	Myanmar	Mc	3	L	0	N	0
ෘ	4171	3544	DD8	SINHALA VOWEL SIGN GAETTA-PILLA	Sinhala	Mc	3	L	0	N	0
見	4161	35211	898B	CJK UNIFIED IDEOGRAPH-898B	Han	Lo	3	L	0	W	0
ዉ	4155	4809	12C9	ETHIOPIC SYLLABLE WU	Ethiopic	Lo	3	L	0	N	0
◄	4153	9668	25C4	BLACK LEFT-POINTING POINTER	Common	So	3	ON	0	N	0
Ɲ	4150	413	19D	LATIN CAPITAL LETTER N WITH LEFT HOOK	Latin	Lu	2	L	0	N	0
►	4150	9658	25BA	BLACK RIGHT-POINTING POINTER	Common	So	3	ON	0	N	0
ฉ	4144	3593	E09	THAI CHARACTER CHO CHING	Thai	Lo	3	L	0	N	0
Ɠ	4108	403	193	LATIN CAPITAL LETTER G WITH HOOK	Latin	Lu	2	L	0	N	0
十	4104	21313	5341	CJK UNIFIED IDEOGRAPH-5341	Han	Lo	3	L	0	W	0
拿	4101	25343	62FF	CJK UNIFIED IDEOGRAPH-62FF	Han	Lo	3	L	0	W	0
ೈ	4100	3272	CC8	KANNADA VOWEL SIGN AI	Kannada	Mc	3	L	0	N	0
ቄ	4083	4676	1244	ETHIOPIC SYLLABLE QEE	Ethiopic	Lo	3	L	0	N	0
城	4082	22478	57CE	CJK UNIFIED IDEOGRAPH-57CE	Han	Lo	3	L	0	W	0
ἕ	4082	7957	1F15	GREEK SMALL LETTER EPSILON WITH DASIA AND OXIA	Greek	Ll	3	L	0	N	0
Ǹ	4050	504	1F8	LATIN CAPITAL LETTER N WITH GRAVE	Latin	Lu	2	L	0	N	0
從	4032	24478	5F9E	CJK UNIFIED IDEOGRAPH-5F9E	Han	Lo	3	L	0	W	0
ἁ	4018	7937	1F01	GREEK SMALL LETTER ALPHA WITH DASIA	Greek	Ll	3	L	0	N	0
ܔ	4014	1812	714	SYRIAC LETTER GAMAL GARSHUNI	Syriac	Lo	2	AL	0	N	0
叫	3981	21483	53EB	CJK UNIFIED IDEOGRAPH-53EB	Han	Lo	3	L	0	W	0
६	3972	2412	96C	DEVANAGARI DIGIT SIX	Devanagari	Nd	3	L	0	N	0
ဥ	3957	4133	1025	MYANMAR LETTER U	Myanmar	Lo	3	L	0	N	0
被	3951	34987	88AB	CJK UNIFIED IDEOGRAPH-88AB	Han	Lo	3	L	0	W	0
ዮ	3935	4846	12EE	ETHIOPIC SYLLABLE YO	Ethiopic	Lo	3	L	0	N	0
ὃ	3920	8003	1F43	GREEK SMALL LETTER OMICRON WITH DASIA AND VARIA	Greek	Ll	3	L	0	N	0
手	3913	25163	624B	CJK UNIFIED IDEOGRAPH-624B	Han	Lo	3	L	0	W	0
罪	3909	32618	7F6A	CJK UNIFIED IDEOGRAPH-7F6A	Han	Lo	3	L	0	W	0
安	3889	23433	5B89	CJK UNIFIED IDEOGRAPH-5B89	Han	Lo	3	L	0	W	0
见	3889	35265	89C1	CJK UNIFIED IDEOGRAPH-89C1	Han	Lo	3	L	0	W	0
ઞ	3889	2718	A9E	GUJARATI LETTER NYA	Gujarati	Lo	3	L	0	N	0
ဋ	3884	4107	100B	MYANMAR LETTER TTA	Myanmar	Lo	3	L	0	N	0
Χ	3879	935	3A7	GREEK CAPITAL LETTER CHI	Greek	Lu	2	L	0	A	0
ỡ	3873	7905	1EE1	LATIN SMALL LETTER O WITH HORN AND TILDE	Latin	Ll	3	L	0	N	0
ڈ	3858	1672	688	ARABIC LETTER DDAL	Arabic	Lo	2	AL	0	N	0
死	3840	27515	6B7B	CJK UNIFIED IDEOGRAPH-6B7B	Han	Lo	3	L	0	W	0
わ	3840	12431	308F	HIRAGANA LETTER WA	Hiragana	Lo	3	L	0	W	0
७	3822	2413	96D	DEVANAGARI DIGIT SEVEN	Devanagari	Nd	3	L	0	N	0
ୌ	3797	2892	B4C	ORIYA VOWEL SIGN AU	Oriya	Mc	3	L	0	N	0
З	3795	1047	417	CYRILLIC CAPITAL LETTER ZE	Cyrillic	Lu	2	L	0	A	0
己	3787	24049	5DF1	CJK UNIFIED IDEOGRAPH-5DF1	Han	Lo	3	L	0	W	0
　	3772	12288	3000	IDEOGRAPHIC SPACE	Common	Zs	3	WS	0	F	0
多	3766	22810	591A	CJK UNIFIED IDEOGRAPH-591A	Han	Lo	3	L	0	W	0
ཐ	3765	3920	F50	TIBETAN LETTER THA	Tibetan	Lo	3	L	0	N	0
家	3748	23478	5BB6	CJK UNIFIED IDEOGRAPH-5BB6	Han	Lo	3	L	0	W	0
ஞ	3742	2974	B9E	TAMIL LETTER NYA	Tamil	Lo	3	L	0	N	0
个	3731	20010	4E2A	CJK UNIFIED IDEOGRAPH-4E2A	Han	Lo	3	L	0	W	0
ಈ	3730	3208	C88	KANNADA LETTER II	Kannada	Lo	3	L	0	N	0
֩	3729	1449	5A9	HEBREW ACCENT TELISHA QETANA	Hebrew	Mn	2	NSM	230	N	0
ऱ	3725	2353	931	DEVANAGARI LETTER RRA	Devanagari	Lo	3	L	0	N	0
将	3712	23558	5C06	CJK UNIFIED IDEOGRAPH-5C06	Han	Lo	3	L	0	W	0
彼	3700	24444	5F7C	CJK UNIFIED IDEOGRAPH-5F7C	Han	Lo	3	L	0	W	0
ൗ	3700	3415	D57	MALAYALAM AU LENGTH MARK	Malayalam	Mc	3	L	0	N	0
ὗ	3693	8023	1F57	GREEK SMALL LETTER UPSILON WITH DASIA AND PERISPOMENI	Greek	Ll	3	L	0	N	0
ଘ	3691	2840	B18	ORIYA LETTER GHA	Oriya	Lo	3	L	0	N	0
є	3682	1108	454	CYRILLIC SMALL LETTER UKRAINIAN IE	Cyrillic	Ll	2	L	0	N	0
ྩ	3669	4009	FA9	TIBETAN SUBJOINED LETTER TSA	Tibetan	Mn	3	NSM	0	N	0
Δ	3667	916	394	GREEK CAPITAL LETTER DELTA	Greek	Lu	2	L	0	A	0
者	3662	32773	8005	CJK UNIFIED IDEOGRAPH-8005	Han	Lo	3	L	0	W	0
对	3643	23545	5BF9	CJK UNIFIED IDEOGRAPH-5BF9	Han	Lo	3	L	0	W	0
ୈ	3642	2888	B48	ORIYA VOWEL SIGN AI	Oriya	Mc	3	L	0	N	0
雅	3634	38597	96C5	CJK UNIFIED IDEOGRAPH-96C5	Han	Lo	3	L	0	W	0
ዱ	3633	4849	12F1	ETHIOPIC SYLLABLE DU	Ethiopic	Lo	3	L	0	N	0
ਓ	3630	2579	A13	GURMUKHI LETTER OO	Gurmukhi	Lo	3	L	0	N	0
དྷ	3619	3922	F52	TIBETAN LETTER DHA	Tibetan	Lo	3	L	0	N	0
求	3617	27714	6C42	CJK UNIFIED IDEOGRAPH-6C42	Han	Lo	3	L	0	W	0
Ο	3616	927	39F	GREEK CAPITAL LETTER OMICRON	Greek	Lu	2	L	0	A	0
ź	3612	378	17A	LATIN SMALL LETTER Z WITH ACUTE	Latin	Ll	2	L	0	N	0
ૈ	3608	2760	AC8	GUJARATI VOWEL SIGN AI	Gujarati	Mn	3	NSM	0	N	0
切	3599	20999	5207	CJK UNIFIED IDEOGRAPH-5207	Han	Lo	3	L	0	W	0
与	3581	19982	4E0E	CJK UNIFIED IDEOGRAPH-4E0E	Han	Lo	3	L	0	W	0
民	3569	27665	6C11	CJK UNIFIED IDEOGRAPH-6C11	Han	Lo	3	L	0	W	0
给	3564	32473	7ED9	CJK UNIFIED IDEOGRAPH-7ED9	Han	Lo	3	L	0	W	0
路	3557	36335	8DEF	CJK UNIFIED IDEOGRAPH-8DEF	Han	Lo	3	L	0	W	0
よ	3548	12424	3088	HIRAGANA LETTER YO	Hiragana	Lo	3	L	0	W	0
Ò	3541	210	D2	LATIN CAPITAL LETTER O WITH GRAVE	Latin	Lu	2	L	0	N	0
比	3534	27604	6BD4	CJK UNIFIED IDEOGRAPH-6BD4	Han	Lo	3	L	0	W	0
ፂ	3525	4930	1342	ETHIOPIC SYLLABLE TZI	Ethiopic	Lo	3	L	0	N	0
住	3517	20303	4F4F	CJK UNIFIED IDEOGRAPH-4F4F	Han	Lo	3	L	0	W	0
ഓ	3504	3347	D13	MALAYALAM LETTER OO	Malayalam	Lo	3	L	0	N	0
巴	3503	24052	5DF4	CJK UNIFIED IDEOGRAPH-5DF4	Han	Lo	3	L	0	W	0
女	3498	22899	5973	CJK UNIFIED IDEOGRAPH-5973	Han	Lo	3	L	0	W	0
她	3490	22905	5979	CJK UNIFIED IDEOGRAPH-5979	Han	Lo	3	L	0	W	0
Ḿ	3479	7742	1E3E	LATIN CAPITAL LETTER M WITH ACUTE	Latin	Lu	3	L	0	N	0
ꬃ	3478	43779	AB03	ETHIOPIC SYLLABLE TTHAA	Ethiopic	Lo	3	L	0	N	0
ഠ	3477	3360	D20	MALAYALAM LETTER TTHA	Malayalam	Lo	3	L	0	N	0
Ⱨ	3477	11367	2C67	LATIN CAPITAL LETTER H WITH DESCENDER	Latin	Lu	3	L	0	N	0
Һ	3458	1210	4BA	CYRILLIC CAPITAL LETTER SHHA	Cyrillic	Lu	2	L	0	N	0
֞	3448	1438	59E	HEBREW ACCENT GERSHAYIM	Hebrew	Mn	2	NSM	230	N	0
ྠ	3448	4000	FA0	TIBETAN SUBJOINED LETTER THA	Tibetan	Mn	3	NSM	0	N	0
稣	3439	31267	7A23	CJK UNIFIED IDEOGRAPH-7A23	Han	Lo	3	L	0	W	0
儿	3436	20799	513F	CJK UNIFIED IDEOGRAPH-513F	Han	Lo	3	L	0	W	0
名	3425	21517	540D	CJK UNIFIED IDEOGRAPH-540D	Han	Lo	3	L	0	W	0
ฏ	3425	3599	E0F	THAI CHARACTER TO PATAK	Thai	Lo	3	L	0	N	0
呢	3421	21602	5462	CJK UNIFIED IDEOGRAPH-5462	Han	Lo	3	L	0	W	0
各	3413	21508	5404	CJK UNIFIED IDEOGRAPH-5404	Han	Lo	3	L	0	W	0
此	3410	27492	6B64	CJK UNIFIED IDEOGRAPH-6B64	Han	Lo	3	L	0	W	0
候	3408	20505	5019	CJK UNIFIED IDEOGRAPH-5019	Han	Lo	3	L	0	W	0
ፒ	3387	4946	1352	ETHIOPIC SYLLABLE PI	Ethiopic	Lo	3	L	0	N	0
{	3381	123	7B	LEFT CURLY BRACKET	Common	Ps	1	ON	0	Na	1
}	3376	125	7D	RIGHT CURLY BRACKET	Common	Pe	1	ON	0	Na	1
信	3372	20449	4FE1	CJK UNIFIED IDEOGRAPH-4FE1	Han	Lo	3	L	0	W	0
Ā	3361	256	100	LATIN CAPITAL LETTER A WITH MACRON	Latin	Lu	2	L	0	N	0
Ž	3348	381	17D	LATIN CAPITAL LETTER Z WITH CARON	Latin	Lu	2	L	0	N	0
Æ	3342	198	C6	LATIN CAPITAL LETTER AE	Latin	Lu	2	L	0	A	0
回	3337	22238	56DE	CJK UNIFIED IDEOGRAPH-56DE	Han	Lo	3	L	0	W	0
受	3321	21463	53D7	CJK UNIFIED IDEOGRAPH-53D7	Han	Lo	3	L	0	W	0
ሾ	3318	4670	123E	ETHIOPIC SYLLABLE SHO	Ethiopic	Lo	3	L	0	N	0
֕	3305	1429	595	HEBREW ACCENT ZAQEF GADOL	Hebrew	Mn	2	NSM	230	N	0
ဦ	3290	4134	1026	MYANMAR LETTER UU	Myanmar	Lo	3	L	0	N	0
像	3288	20687	50CF	CJK UNIFIED IDEOGRAPH-50CF	Han	Lo	3	L	0	W	0
Ô	3284	212	D4	LATIN CAPITAL LETTER O WITH CIRCUMFLEX	Latin	Lu	2	L	0	N	0
百	3270	30334	767E	CJK UNIFIED IDEOGRAPH-767E	Han	Lo	3	L	0	W	0
	3270	57906	E232	No name found.	Unknown	Co	3	L	0	A	0
ਝ	3262	2589	A1D	GURMUKHI LETTER JHA	Gurmukhi	Lo	3	L	0	N	0
ὖ	3244	8022	1F56	GREEK SMALL LETTER UPSILON WITH PSILI AND PERISPOMENI	Greek	Ll	3	L	0	N	0
样	3234	26679	6837	CJK UNIFIED IDEOGRAPH-6837	Han	Lo	3	L	0	W	0
若	3218	33509	82E5	CJK UNIFIED IDEOGRAPH-82E5	Han	Lo	3	L	0	W	0
时	3212	26102	65F6	CJK UNIFIED IDEOGRAPH-65F6	Han	Lo	3	L	0	W	0
८	3205	2414	96E	DEVANAGARI DIGIT EIGHT	Devanagari	Nd	3	L	0	N	0
ス	3196	12473	30B9	KATAKANA LETTER SU	Katakana	Lo	3	L	0	W	0
物	3185	29289	7269	CJK UNIFIED IDEOGRAPH-7269	Han	Lo	3	L	0	W	0
兒	3183	20818	5152	CJK UNIFIED IDEOGRAPH-5152	Han	Lo	3	L	0	W	0
ῥ	3167	8165	1FE5	GREEK SMALL LETTER RHO WITH DASIA	Greek	Ll	3	L	0	N	0
Ø	3158	216	D8	LATIN CAPITAL LETTER O WITH STROKE	Latin	Lu	2	L	0	A	0
分	3153	20998	5206	CJK UNIFIED IDEOGRAPH-5206	Han	Lo	3	L	0	W	0
ሁ	3127	4609	1201	ETHIOPIC SYLLABLE HU	Ethiopic	Lo	3	L	0	N	0
९	3124	2415	96F	DEVANAGARI DIGIT NINE	Devanagari	Nd	3	L	0	N	0
Ṣ	3114	7778	1E62	LATIN CAPITAL LETTER S WITH DOT BELOW	Latin	Lu	3	L	0	N	0
告	3097	21578	544A	CJK UNIFIED IDEOGRAPH-544A	Han	Lo	3	L	0	W	0
ఖ	3082	3094	C16	TELUGU LETTER KHA	Telugu	Lo	3	L	0	N	0
但	3080	20294	4F46	CJK UNIFIED IDEOGRAPH-4F46	Han	Lo	3	L	0	W	0
好	3073	22909	597D	CJK UNIFIED IDEOGRAPH-597D	Han	Lo	3	L	0	W	0
Ⲭ	3064	11436	2CAC	COPTIC CAPITAL LETTER KHI	Coptic	Lu	3	L	0	N	0
ઊ	3055	2698	A8A	GUJARATI LETTER UU	Gujarati	Lo	3	L	0	N	0
Ą	3039	260	104	LATIN CAPITAL LETTER A WITH OGONEK	Latin	Lu	2	L	0	N	0
ⲭ	3030	11437	2CAD	COPTIC SMALL LETTER KHI	Coptic	Ll	3	L	0	N	0
將	3028	23559	5C07	CJK UNIFIED IDEOGRAPH-5C07	Han	Lo	3	L	0	W	0
ጫ	3025	4907	132B	ETHIOPIC SYLLABLE CHAA	Ethiopic	Lo	3	L	0	N	0
父	3023	29238	7236	CJK UNIFIED IDEOGRAPH-7236	Han	Lo	3	L	0	W	0
Ы	3008	1067	42B	CYRILLIC CAPITAL LETTER YERU	Cyrillic	Lu	2	L	0	A	0
ྻ	2986	4027	FBB	TIBETAN SUBJOINED LETTER FIXED-FORM YA	Tibetan	Mn	3	NSM	0	N	0
ঽ	2950	2493	9BD	BENGALI SIGN AVAGRAHA	Bengali	Lo	3	L	0	N	0
ཪ	2920	3946	F6A	TIBETAN LETTER FIXED-FORM RA	Tibetan	Lo	3	L	0	N	0
ᤇ	2912	6407	1907	LIMBU LETTER CHA	Limbu	Lo	3	L	0	N	0
些	2901	20123	4E9B	CJK UNIFIED IDEOGRAPH-4E9B	Han	Lo	3	L	0	W	0
給	2898	32102	7D66	CJK UNIFIED IDEOGRAPH-7D66	Han	Lo	3	L	0	W	0
ሽ	2896	4669	123D	ETHIOPIC SYLLABLE SHE	Ethiopic	Lo	3	L	0	N	0
ἤ	2887	7972	1F24	GREEK SMALL LETTER ETA WITH PSILI AND OXIA	Greek	Ll	3	L	0	N	0
き	2887	12365	304D	HIRAGANA LETTER KI	Hiragana	Lo	3	L	0	W	0
身	2886	36523	8EAB	CJK UNIFIED IDEOGRAPH-8EAB	Han	Lo	3	L	0	W	0
约	2882	32422	7EA6	CJK UNIFIED IDEOGRAPH-7EA6	Han	Lo	3	L	0	W	0
Ĉ	2877	264	108	LATIN CAPITAL LETTER C WITH CIRCUMFLEX	Latin	Lu	2	L	0	N	0
ฝ	2874	3613	E1D	THAI CHARACTER FO FA	Thai	Lo	3	L	0	N	0
Ⲅ	2862	11396	2C84	COPTIC CAPITAL LETTER GAMMA	Coptic	Lu	3	L	0	N	0
ዞ	2861	4830	12DE	ETHIOPIC SYLLABLE ZO	Ethiopic	Lo	3	L	0	N	0
く	2846	12367	304F	HIRAGANA LETTER KU	Hiragana	Lo	3	L	0	W	0
ಞ	2825	3230	C9E	KANNADA LETTER NYA	Kannada	Lo	3	L	0	N	0
ٰ	2825	1648	670	ARABIC LETTER SUPERSCRIPT ALEF	Inherited	Mn	2	NSM	35	N	0
ቻ	2824	4731	127B	ETHIOPIC SYLLABLE CAA	Ethiopic	Lo	3	L	0	N	0
Ё	2819	1025	401	CYRILLIC CAPITAL LETTER IO	Cyrillic	Lu	2	L	0	A	0
会	2813	20250	4F1A	CJK UNIFIED IDEOGRAPH-4F1A	Han	Lo	3	L	0	W	0
ል	2811	4621	120D	ETHIOPIC SYLLABLE LE	Ethiopic	Lo	3	L	0	N	0
ዑ	2811	4817	12D1	ETHIOPIC SYLLABLE PHARYNGEAL U	Ethiopic	Lo	3	L	0	N	0
啊	2806	21834	554A	CJK UNIFIED IDEOGRAPH-554A	Han	Lo	3	L	0	W	0
ኩ	2797	4777	12A9	ETHIOPIC SYLLABLE KU	Ethiopic	Lo	3	L	0	N	0
ẫ	2790	7851	1EAB	LATIN SMALL LETTER A WITH CIRCUMFLEX AND TILDE	Latin	Ll	3	L	0	N	0
ፋ	2786	4939	134B	ETHIOPIC SYLLABLE FAA	Ethiopic	Lo	3	L	0	N	0
ሣ	2782	4643	1223	ETHIOPIC SYLLABLE SZAA	Ethiopic	Lo	3	L	0	N	0
ⲅ	2780	11397	2C85	COPTIC SMALL LETTER GAMMA	Coptic	Ll	3	L	0	N	0
其	2773	20854	5176	CJK UNIFIED IDEOGRAPH-5176	Han	Lo	3	L	0	W	0
摩	2766	25705	6469	CJK UNIFIED IDEOGRAPH-6469	Han	Lo	3	L	0	W	0
_	2761	95	5F	LOW LINE	Common	Pc	1	ON	0	Na	0
立	2759	31435	7ACB	CJK UNIFIED IDEOGRAPH-7ACB	Han	Lo	3	L	0	W	0
ਢ	2733	2594	A22	GURMUKHI LETTER DDHA	Gurmukhi	Lo	3	L	0	N	0
Ḳ	2727	7730	1E32	LATIN CAPITAL LETTER K WITH DOT BELOW	Latin	Lu	3	L	0	N	0
二	2717	20108	4E8C	CJK UNIFIED IDEOGRAPH-4E8C	Han	Lo	3	L	0	W	0
弟	2703	24351	5F1F	CJK UNIFIED IDEOGRAPH-5F1F	Han	Lo	3	L	0	W	0
ፖ	2698	4950	1356	ETHIOPIC SYLLABLE PO	Ethiopic	Lo	3	L	0	N	0
與	2688	33287	8207	CJK UNIFIED IDEOGRAPH-8207	Han	Lo	3	L	0	W	0
私	2680	31169	79C1	CJK UNIFIED IDEOGRAPH-79C1	Han	Lo	3	L	0	W	0
᾿	2673	8127	1FBF	GREEK PSILI	Greek	Sk	3	ON	0	N	0
ᤓ	2670	6419	1913	LIMBU LETTER BHA	Limbu	Lo	3	L	0	N	0
做	2665	20570	505A	CJK UNIFIED IDEOGRAPH-505A	Han	Lo	3	L	0	W	0
ఫ	2663	3115	C2B	TELUGU LETTER PHA	Telugu	Lo	3	L	0	N	0
約	2652	32004	7D04	CJK UNIFIED IDEOGRAPH-7D04	Han	Lo	3	L	0	W	0
ಫ	2643	3243	CAB	KANNADA LETTER PHA	Kannada	Lo	3	L	0	N	0
時	2640	26178	6642	CJK UNIFIED IDEOGRAPH-6642	Han	Lo	3	L	0	W	0
ዻ	2639	4859	12FB	ETHIOPIC SYLLABLE DDAA	Ethiopic	Lo	3	L	0	N	0
打	2638	25171	6253	CJK UNIFIED IDEOGRAPH-6253	Han	Lo	3	L	0	W	0
᾽	2637	8125	1FBD	GREEK KORONIS	Greek	Sk	3	ON	0	N	0
Ε	2632	917	395	GREEK CAPITAL LETTER EPSILON	Greek	Lu	2	L	0	A	0
ಏ	2631	3215	C8F	KANNADA LETTER EE	Kannada	Lo	3	L	0	N	0
ᤎ	2618	6414	190E	LIMBU LETTER DHA	Limbu	Lo	3	L	0	N	0
ଈ	2602	2824	B08	ORIYA LETTER II	Oriya	Lo	3	L	0	N	0
而	2597	32780	800C	CJK UNIFIED IDEOGRAPH-800C	Han	Lo	3	L	0	W	0
ព	2595	6038	1796	KHMER LETTER PO	Khmer	Lo	3	L	0	N	0
ҷ	2586	1207	4B7	CYRILLIC SMALL LETTER CHE WITH DESCENDER	Cyrillic	Ll	2	L	0	N	0
Β	2581	914	392	GREEK CAPITAL LETTER BETA	Greek	Lu	2	L	0	A	0
先	2578	20808	5148	CJK UNIFIED IDEOGRAPH-5148	Han	Lo	3	L	0	W	0
ဌ	2578	4108	100C	MYANMAR LETTER TTHA	Myanmar	Lo	3	L	0	N	0
ೃ	2566	3267	CC3	KANNADA VOWEL SIGN VOCALIC R	Kannada	Mc	3	L	0	N	0
ܨ	2560	1832	728	SYRIAC LETTER SADHE	Syriac	Lo	2	AL	0	N	0
并	2558	24182	5E76	CJK UNIFIED IDEOGRAPH-5E76	Han	Lo	3	L	0	W	0
然	2542	28982	7136	CJK UNIFIED IDEOGRAPH-7136	Han	Lo	3	L	0	W	0
ঢ	2534	2466	9A2	BENGALI LETTER DDHA	Bengali	Lo	3	L	0	N	0
だ	2533	12384	3060	HIRAGANA LETTER DA	Hiragana	Lo	3	L	0	W	0
ڤ	2531	1700	6A4	ARABIC LETTER VEH	Arabic	Lo	2	AL	0	N	0
め	2521	12417	3081	HIRAGANA LETTER ME	Hiragana	Lo	3	L	0	W	0
බ	2516	3510	DB6	SINHALA LETTER ALPAPRAANA BAYANNA	Sinhala	Lo	3	L	0	N	0
ĥ	2510	293	125	LATIN SMALL LETTER H WITH CIRCUMFLEX	Latin	Ll	2	L	0	N	0
ἠ	2502	7968	1F20	GREEK SMALL LETTER ETA WITH PSILI	Greek	Ll	3	L	0	N	0
ౌ	2488	3148	C4C	TELUGU VOWEL SIGN AU	Telugu	Mn	3	NSM	0	N	0
え	2471	12360	3048	HIRAGANA LETTER E	Hiragana	Lo	3	L	0	W	0
何	2467	20309	4F55	CJK UNIFIED IDEOGRAPH-4F55	Han	Lo	3	L	0	W	0
對	2465	23565	5C0D	CJK UNIFIED IDEOGRAPH-5C0D	Han	Lo	3	L	0	W	0
ἢ	2461	7970	1F22	GREEK SMALL LETTER ETA WITH PSILI AND VARIA	Greek	Ll	3	L	0	N	0
伯	2460	20271	4F2F	CJK UNIFIED IDEOGRAPH-4F2F	Han	Lo	3	L	0	W	0
֮	2459	1454	5AE	HEBREW ACCENT ZINOR	Hebrew	Mn	2	NSM	228	N	0
エ	2454	12456	30A8	KATAKANA LETTER E	Katakana	Lo	3	L	0	W	0
众	2450	20247	4F17	CJK UNIFIED IDEOGRAPH-4F17	Han	Lo	3	L	0	W	0
個	2449	20491	500B	CJK UNIFIED IDEOGRAPH-500B	Han	Lo	3	L	0	W	0
成	2443	25104	6210	CJK UNIFIED IDEOGRAPH-6210	Han	Lo	3	L	0	W	0
イ	2442	12452	30A4	KATAKANA LETTER I	Katakana	Lo	3	L	0	W	0
年	2438	24180	5E74	CJK UNIFIED IDEOGRAPH-5E74	Han	Lo	3	L	0	W	0
ፄ	2432	4932	1344	ETHIOPIC SYLLABLE TZEE	Ethiopic	Lo	3	L	0	N	0
方	2411	26041	65B9	CJK UNIFIED IDEOGRAPH-65B9	Han	Lo	3	L	0	W	0
没	2406	27809	6CA1	CJK UNIFIED IDEOGRAPH-6CA1	Han	Lo	3	L	0	W	0
樣	2401	27171	6A23	CJK UNIFIED IDEOGRAPH-6A23	Han	Lo	3	L	0	W	0
ẖ	2400	7830	1E96	LATIN SMALL LETTER H WITH LINE BELOW	Latin	Ll	3	L	0	N	0
֠	2396	1440	5A0	HEBREW ACCENT TELISHA GEDOLA	Hebrew	Mn	2	NSM	230	N	0
ᤪ	2396	6442	192A	LIMBU SUBJOINED LETTER RA	Limbu	Mc	3	L	0	N	0
Ï	2390	207	CF	LATIN CAPITAL LETTER I WITH DIAERESIS	Latin	Lu	2	L	0	N	0
Ú	2389	218	DA	LATIN CAPITAL LETTER U WITH ACUTE	Latin	Lu	2	L	0	N	0
当	2361	24403	5F53	CJK UNIFIED IDEOGRAPH-5F53	Han	Lo	3	L	0	W	0
Ϭ	2352	1004	3EC	COPTIC CAPITAL LETTER SHIMA	Coptic	Lu	2	L	0	N	0
֚	2349	1434	59A	HEBREW ACCENT YETIV	Hebrew	Mn	2	NSM	222	N	0
ញ	2349	6025	1789	KHMER LETTER NYO	Khmer	Lo	3	L	0	N	0
ਞ	2349	2590	A1E	GURMUKHI LETTER NYA	Gurmukhi	Lo	3	L	0	N	0
『	2347	12302	300E	LEFT WHITE CORNER BRACKET	Common	Ps	3	ON	0	W	1
话	2344	35805	8BDD	CJK UNIFIED IDEOGRAPH-8BDD	Han	Lo	3	L	0	W	0
兄	2327	20804	5144	CJK UNIFIED IDEOGRAPH-5144	Han	Lo	3	L	0	W	0
只	2326	21482	53EA	CJK UNIFIED IDEOGRAPH-53EA	Han	Lo	3	L	0	W	0
