"languageCode","translationId","languageName","languageNameInEnglish","dialect","homeDomain","title","description","Redistributable","Copyright","UpdateDate","publicationURL","OTbooks","OTchapters","OTverses","NTbooks","NTchapters","NTverses","DCbooks","DCchapters","DCverses","FCBHID","Certified","inScript","swordName","rodCode","textDirection","downloadable","font","shortTitle","PODISBN","script","sourceDate"
"bcc","bcc","Balochi, Southern","Balochi, Southern","","ebible.org","بلۆچی      Balochi","Balochi, Southern: بلۆچی      Balochi (New Testament+)","False","Copyright © 2016 Wycliffe Bible Translators, Inc.","2020-11-16","http://ebible.org/bcc/","1","100","1572","14","176","6034","0","0","0","BCCWBT","False","http://inscript.org/?v1=GN1_1&w1=bible&t1=local%3A","bcc2016eb","","rtl","True","Amiri","Balochi, Southern: بلۆچی      Balochi (New Testament+)","","Arabic","2020-11-14"
"bcc","bccl","Balochi, Southern","Balochi, Southern","","ebible.org","Balóchi Balochi","Latin version of the Balochi Bible","False","Copyright © 2015 Wycliffe Bible Translators, Inc.","2020-11-16","http://ebible.org/bccl/","1","100","1572","14","176","6034","0","0","0","BCCLWB","False","http://inscript.org/?v1=GN1_1&w1=bible&t1=local%3A","bccl2015eb","","ltr","True","DejaVu Serif","Latin version of the Balochi Bible","","Latin","2020-11-14"
"bch","bch","Bariai","Bariai","","png.bible","Deo Ele Posanga","Genesis, Exodus, and the New Testament in the Bariai language of Papua New Guinea","True","Copyright © 2012 Wycliffe Bible Translators, Inc.","2012-10-03","http://png.bible/bch/","2","90","2727","27","260","7925","0","0","0","BCHPNG","True","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","bch2012eb","","ltr","True","Andika","Bariai Bible","978-1-5313-0074-6","Latin","2020-10-09"
"bco","bco","Kaluli","Kaluli","","png.bible","Godeya꞉ To Nafayo꞉ We","The New Testament, Genesis, and Ruth in the Kaluli language of Papua New Guinea","True","Copyright © 1998-2022 Wycliffe Bible Translators, Inc.","2024-02-28","http://png.bible/bco/","2","54","1492","27","260","7669","0","0","0","BCOWBT","True","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","bco1998eb","","ltr","True","Andika","Kaluli Bible portions","978-1-5313-0075-3","Latin","2024-02-28"
"bcw","bcw","Bana","Bana","","ebible.org","Zliya Yǝwǝn kwǝma wǝzǝ naa dzǝkǝn Yesǝw Kǝristǝw","Bana: Zliya Yǝwǝn kwǝma wǝzǝ naa dzǝkǝn Yesǝw Kǝristǝw New Testament","False","Copyright © 2005 Wycliffe Bible Translators, Inc.","2020-11-16","http://ebible.org/bcw/","0","0","0","27","260","7898","0","0","0","BCWWBT","False","http://inscript.org/?v1=GN1_1&w1=bible&t1=local%3A","bcw2005eb","","ltr","True","DejaVu Serif","Bana: Zliya Yǝwǝn kwǝma wǝzǝ naa dzǝkǝn Yesǝw Kǝristǝw New Testament","","Latin","2020-11-14"
"bdd","bdd","Bunama","Bunama","","png.bible","LOINA HAUHAUNA","The New Testament in the Bunama language of Papua New Guinea","True","Copyright © 1991 Wycliffe Bible Translators, Inc.","2015-01-02","http://png.bible/bdd/","0","0","0","27","260","7880","0","0","0","BDDPNG","True","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","bdd1991eb","","ltr","True","Andika","Bunama NT","978-1-5313-0076-0","Latin","2020-10-09"
"bdh","bdh","Baka","Baka","","ebible.org","MƗKÁNDA LORỤ ꞌBƗ LOMO KƗ́ DOSỊ́ ÉYỊ́ E","Baka: MƗKÁNDA LORỤ ꞌBƗ LOMO KƗ́ DOSỊ́ ÉYỊ́ E New Testament+","False","Copyright © 2016 Wycliffe Bible Translators, Inc.","2020-11-16","http://ebible.org/bdh/","1","50","1533","27","260","7953","0","0","0","BDHWBT","False","http://inscript.org/?v1=GN1_1&w1=bible&t1=local%3A","bdh2016eb","","ltr","True","DejaVu Serif","Baka: MƗKÁNDA LORỤ ꞌBƗ LOMO KƗ́ DOSỊ́ ÉYỊ́ E New Testament+","","Latin","2020-11-14"
"bds","bds","Burunge","Burunge","","ebible.org","Ila⁄imbidu Gu ⁄abu hari Burungaisoo","Burunge: Ila⁄imbidu Gu ⁄abu hari Burungaisoo (Bible)","False","Copyright © 2019 Wycliffe Bible Translators, Inc.","2020-11-16","http://ebible.org/bds/","0","0","0","27","260","7930","0","0","0","BDSWBT","False","http://inscript.org/?v1=GN1_1&w1=bible&t1=local%3A","bds2019eb","","ltr","True","DejaVu Serif","Burunge: Ila⁄imbidu Gu ⁄abu hari Burungaisoo (Bible)","","Latin","2020-11-14"
"bdv","bdv","ବଡ଼ ପରଜା","Bodo Parja","","ebible.org","ସଃର୍ଗାର୍‌ ବାଟ୍‌ ନଃଉଁଆ ନିଅମ୍‌","The New Testament in the Bodo Parja language of India","True","Copyright © 2020 The Word for the World International","2023-04-06","http://ebible.org/bdv/","0","0","0","27","260","7959","0","0","0","BDVTWF","True","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","bdv2020eb","","ltr","True","FreeSerif","Bodo Parja: BOPO Bible","","Latin","2023-04-07"
"bea","bea","Dane Zaa","Beaver","","ebible.org","OOTECH OOCHU TAKEHNIYA TINKLES ST. MARK","The Gospel According to Mark in the Beaver language of Canada","True","public domain","2024-04-30","http://ebible.org/bea/","0","0","0","1","16","678","0","0","0","BEABFB","True","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","bea1886eb","","ltr","True","Gentium","Beaver Mark","978-1-5313-0077-7","Latin","2024-04-30"
"bef","bef","Bena-bena","Benabena","","png.bible","Ka Lamana'a Mono'i Lu Mu Tifi'ehina Ka Yabe","The New Testament in the Benabena Language of Papua New Guinea","True","Copyright © 1982 Wycliffe Bible Translators, Inc.","2012-09-26","http://png.bible/bef/","0","0","0","27","260","7859","0","0","0","BEFWBT","True","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","bef1982eb","","ltr","True","Andika","Benabena NT","978-1-5313-0078-4","Latin","2020-10-09"
"bel","bel","Belarusian","Belarusian","","ebible.org","Біблія (пераклад В.Сёмухі)","The Holy Bible in Belarusan","True","Copyright © 2016 John the Forerunner Church of Christians of Evangelical Faith of Minsk City","2019-12-29","http://ebible.org/bel/","39","929","23208","27","260","7955","0","0","0","BELJFC","True","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","bel2016eb","","ltr","True","Gentium Plus","Belarusan Bible","978-1-5313-0830-8","Cyrillic","2021-05-21"
"bel","beln","беларуская","беларуская","","ebible.org","Новы Запавет і Кнігі Старога Запавету","Belarusian New Testament and Books of Old Testament","True","Copyright © 2016 John the Forerunner Church of Christians of Evangelical Faith of Minsk City","2021-05-20","http://ebible.org/beln/","4","243","5197","27","260","7957","0","0","0","BELNJO","True","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","beln2021eb","","ltr","True","Gentium Plus","Belarusian New Testament and Books of Old Testament","","Cyrillic","2021-05-21"
"ben","ben2006","বাংলা","Bengali","","ebible.org","পবিত্র বাইবেল","Bengali Holy Bible: Easy-to-Read Version™","False","Copyright © 2001-2006 World Bible Translation Center","2013-10-15","http://ebible.org/ben2006/","39","929","22776","27","260","7908","0","0","0","BNGWTC","False","http://inscript.org/?v1=GN1_1&w1=bible&t1=local%3A","ben2006eb","","ltr","True","Mukti","Bengali Bible (ERV)","","Bengali","2020-10-09"
"ben","benirv","বাংলা","Bengali","","ebible.org","ইন্ডিয়ান রিভাইজড ভার্সন (IRV) - বেঙ্গলী","Bengali: ইন্ডিয়ান রিভাইজড ভার্সন (IRV) - বেঙ্গলী (Bible)","True","Copyright © 2018 Bridge Connectivity Solutions Pvt. Ltd.","2023-11-22","http://ebible.org/benirv/","39","929","23145","27","260","7951","0","0","0","BENIRV","True","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","benirv2019eb","","ltr","True","Noto Sans Bengali","Bengali Indian Revised Version Bible: ইন্ডিয়ান রিভাইজড ভার্সন (IRV) - বেঙ্গলী","","Latin","2023-11-22"
"ben","benobcv","বাংলা","Bengali","","ebible.org","Biblica® মুক্তভাবে বাংলা সমকালীন সংস্করণের","Bengali: Biblica® মুক্তভাবে বাংলা সমকালীন সংস্করণের (Bible)","True","Copyright © 2022 Biblica, Inc.","2023-04-07","http://ebible.org/benobcv/","39","929","23144","27","260","7956","0","0","0","BENOCV","True","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","benobcv2019eb","","ltr","True","Noto Sans Bengali","Open Bengali Contemporary Version Bible","","Latin","2023-04-07"
"beo","beo","Bedamuni","Beami","","png.bible","GODE EA SIA: IDA:IWANE GALA","The Holy Bible in the Bedamuni language of Papua New Guinea","True","Copyright © 2000 Tom Hoey","2024-05-01","http://png.bible/beo/","39","929","22134","27","260","7925","0","0","0","BEOPIO","True","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","beo2001eb","","ltr","True","DejaVu Serif","Bedamuni Bible","978-1-5313-0079-1","Latin","2024-05-01"
"beu","beu","Pura","Blagar","Pura","alkitab.pw","Pura Alkitab","Genesis, Mark, and Acts in the Pura dialect of the Blagar language of Indonesia","True","Copyright © 2016 Unit Bahasa dan Budaya","2016-06-28","http://alkitab.pw/beu/","1","50","1422","2","44","1584","0","0","0","BEUUBB","True","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","beu2016eb","08197","ltr","True","DejaVu Serif","Pura Bible","978-1-5313-0776-9","Latin","2020-10-09"
"bex","bex","Jur Modo","Jur Modo","","ebible.org","Ndose Kɔdɔ Laka, Buku ꞌba Tisaki ni Tɔdɔ to Lömu Laꞌja ꞌBa Yësu Kurïsïtö Ŋere Ze","Jur Modo: Ndose Kɔdɔ Laka, Buku ꞌba Tisaki ni Tɔdɔ to Lömu Laꞌja ꞌBa Yësu Kurïsïtö Ŋere Ze New Testament+","False","Copyright © 1998 Wycliffe Bible Translators, Inc.","2020-11-18","http://ebible.org/bex/","2","90","2720","27","260","7884","0","0","0","BEXWBT","False","http://inscript.org/?v1=GN1_1&w1=bible&t1=local%3A","bex1998eb","00929","ltr","True","DejaVu Serif","Jur Mödö NT, Genesis, and Exodus","","Latin","2020-11-19"
"bfd","bfd","Bafut","Bafut","","ebible.org","Bafut","Bafut: Ǹtoò Kristo yî Ǹsɨgɨ̀nǝ̀: mɨ̀kàà yî mfiì New Testament","False","Copyright © 1999 Wycliffe Bible Translators, Inc.","2022-10-27","http://ebible.org/bfd/","0","0","0","27","260","7957","0","0","0","BFDWBT","False","http://inscript.org/?v1=GN1_1&w1=bible&t1=local%3A","bfd1999eb","","ltr","True","DejaVu Serif","Bafut: Ǹtoò Kristo yî Ǹsɨgɨ̀nǝ̀: mɨ̀kàà yî mfiì New Testament","","Latin","2022-10-27"
"bfz","bfz","Mahasui","Pahari, Mahasu","Baghlayani","ebible.org","बघल्याणी  नवां विधान","The holy Bible in the Baghlayani dialect of the Mahasu Pahari language of India","True","Copyright © 2021 The Love Fellowship","2023-04-13","http://ebible.org/bfz/","0","0","0","27","260","7954","0","0","0","BFZTLF","True","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","bfz2021eb","","ltr","True","FreeSerif","Baghlayani Bible","","Latin","2023-04-14"
"bgc","bgc","हरियाणवी‎","Haryanvi","","ebible.org","हरियाणवी बाइबिल","The Holy Bible in the Haryanvi Language of India","True","Copyright © 2021 The Love Fellowship","2023-04-08","http://ebible.org/bgc/","0","0","0","27","260","7918","0","0","0","BGCTLF","True","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","bgc2021eb","","ltr","True","FreeSerif","Haryanvi Bible","","Latin","2023-04-09"
"bgg","bgg","Kho","Bugun","","ebible.org","Iwo Surua Mua Wie Pha Bible","The Holy Bible in the Bugun language of India, first Bible translation","True","Copyright © 2023 The Word for the World International","2023-08-31","http://ebible.org/bgg/","0","0","0","27","260","7911","0","0","0","BGGTWF","True","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","bgg2023eb","","ltr","True","Liberation Serif","Bugun Bible","","Latin","2023-08-31"
"bgs","bgs","Tagabawa","Tagabawa","","ebible.org","Kagi Ka Manama","New Testament and Shorter Old Testament in Tagabawa","True","Copyright © 2004 Wycliffe Bible Translators, Inc.","2014-08-06","http://ebible.org/bgs/","3","74","2102","27","260","7920","0","0","0","BGSWBT","True","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","bgs2004eb","","ltr","True","Gentium","Tagabawa Bible","978-1-5313-0080-7","Latin","2014-07-29"
"bgt","bgt","Bughotu","Bughotu","","ebible.org","Na Rorongo Ke Toke Eigna a Jisas Krais","The New Testament in the Bughotu language of the Solomon Islands","True","Copyright © 2009 Wycliffe Bible Translators, Inc.","2017-11-13","http://ebible.org/bgt/","0","0","0","27","260","7863","0","0","0","BGTWBT","True","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","bgt2009eb","","ltr","True","DejaVu Serif","Bughotu New Testament","","Latin","2021-11-30"
"bhd","bhd","भद्रवाही‎","Bhadrawahi","","ebible.org","भड्लाई बाइबिल","The Holy Bible in the Bhadrawahi Language (bhd) of India","True","Copyright © 2020 The Love Fellowship","2023-04-06","http://ebible.org/bhd/","0","0","0","27","260","7938","0","0","0","BHDTLF","True","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","bhd2020eb","","ltr","True","FreeSerif","Bhadrawahi Bible","","Latin","2023-04-07"
"bhg","bhg","Binandere","Binandere","","png.bible","God da Ge Wasiride","Part of the New Testament in the Binandere language of Papua New Guinea","True","Copyright © 2014-2021 Wycliffe Bible Translators, Inc.","2021-05-31","http://png.bible/bhg/","0","0","0","14","153","5480","0","0","0","BHGWBT","False","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","bhg2014eb","","ltr","True","Gentium","Binandere NT","978-1-5313-0081-4","Latin","2021-11-30"
"bhl","bhl","Bimin","Bimin","","png.bible","Sunbin-Got em Kitakamin Weng","The New Testament and part of the Old Testament in the Bimin Language of Papua New Guinea","True","Copyright © 2008 Bible Society of Papua New Guinea","2016-10-03","http://png.bible/bhl/","4","64","1788","27","260","7778","0","0","0","BHLPNG","True","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","bhl2008eb","","ltr","True","FreeSerif","Bimin NT","978-1-5313-0082-1","Latin","2020-10-09"
"bht","bht","भटियाली‎","Bhattiyali","","ebible.org","भटियाली नोआ नियम","The Holy Bible in the Bhattiyali language of India","True","Copyright © 2022 The Love Fellowship","2023-04-06","http://ebible.org/bht/","0","0","0","27","260","7888","0","0","0","BHTTLF","True","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","bht2022eb","","ltr","True","FreeSerif","Bhattiyali Bible","","Latin","2023-04-07"
"bib","bib","Bissa","Bissa","","ebible.org","Wosoci Gʊaasɩbabaa Daa","Bisa: Wosoci Gʊaasɩbabaa Daa New Testament","False","Copyright © 2001 Wycliffe Bible Translators, Inc.","2020-11-16","http://ebible.org/bib/","0","0","0","27","260","7947","0","0","0","BIBWBT","False","http://inscript.org/?v1=GN1_1&w1=bible&t1=local%3A","bib2001eb","01746","ltr","True","DejaVu Serif","Bisa: Wosoci Gʊaasɩbabaa Daa New Testament","","Latin","2020-11-14"
"big","big","Biangai","Biangai","","png.bible","Anotogi Ngago Wik Yisu Kilisiyegi Langaira","The New Testament in the Biangai language of Papua New Guinea","True","Copyright © 1985 Wycliffe Bible Translators, Inc.","2012-11-22","http://png.bible/big/","0","0","0","27","260","7862","0","0","0","BIGTBL","True","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","big1985eb","","ltr","True","Gentium","Biangai NT","978-1-5313-0083-8","Latin","2020-10-09"
"big","big2013","Biangai","Biangai","","png.bible","Anotogi Ngago Wikta","New Testament in Biangai","True","Copyright © 2013 Wycliffe Bible Translators, Inc.","2020-11-11","http://png.bible/big2013/","0","0","0","27","260","7863","0","0","0","BIGWBT","False","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","big2013eb","","ltr","True","DejaVu Serif","New Testament in Biangai","","Latin","2020-11-12"
"bim","bim","Bimoba","Bimoba","","ebible.org","Yennu Gbouŋ Mɔɔr","Bimoba: Yennu Gbouŋ Mɔɔr Bible","False","Copyright © 2003 Wycliffe Bible Translators, Inc.","2020-11-16","http://ebible.org/bim/","39","929","22423","27","260","7907","0","0","0","BIMWBT","False","http://inscript.org/?v1=GN1_1&w1=bible&t1=local%3A","bim2003eb","","ltr","True","DejaVu Serif","Bimoba: Yennu Gbouŋ Mɔɔr Bible","","Latin","2020-11-14"
"biv","biv","Birifor, Southern","Birifor, Southern","","ebible.org","A Nãaŋmɩn Nɛtɩr Oaalaa Gãn, Bɩrfʊɔr","Birifor, Southern: A Nãaŋmɩn Nɛtɩr Oaalaa Gãn, Bɩrfʊɔr New Testament","False","Copyright © 2006 Wycliffe Bible Translators, Inc.","2020-11-30","http://ebible.org/biv/","0","0","0","27","260","7942","0","0","0","BIVWBT","False","http://inscript.org/?v1=GN1_1&w1=bible&t1=local%3A","biv2006eb","","ltr","True","DejaVu Serif","Southern Birifor NT","","Latin","2020-12-01"
"bjk","bjk","Barok","Barok","Usen","png.bible","A Xuxubus Maxat","The New Testament in the Usen dialect of the Barok language of Papua New Guinea","True","Copyright © 2016 Wycliffe Bible Translators, Inc.","2023-05-04","http://png.bible/bjk/","0","0","0","27","260","7906","0","0","0","BJKWBT","False","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","bjk2016eb","","ltr","True","DejaVu Serif","Barok NT","","Latin","2023-05-04"
"bjn","bjn","Banjar","Banjar","","ebible.org","Bahasa Banjar","Jon, Rut in the Banjar language of Malaysia","False","Copyright © 2019 Wycliffe Bible Translators, Inc.","2020-11-13","http://ebible.org/bjn/","4","26","543","1","23","223","0","0","0","BJNWBT","False","http://inscript.org/?v1=GN1_1&w1=bible&t1=local%3A","bjn2019eb","","ltr","True","DejaVu Serif","Jon, Rut","","Latin","2020-11-14"
"bjp","bjp","Fanamaket","Fanamaket","","png.bible","Fanamaket Baibel","The New Testament in the Fanamaket Language of Papua New Guinea","True","Copyright © 2011-2021 Wycliffe Bible Translators, Inc.","2023-03-15","http://png.bible/bjp/","0","0","0","27","260","7933","0","0","0","TGGWBT","True","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","bjp2012eb","","ltr","True","Gentium","Fanamaket NT","978-1-5313-0085-2","Latin","2023-05-21"
"bjr","bjr","Binumarien","Binumarien","","png.bible","Fúka Moodaanaki Kira Ufa Afaqínaasa Ufa","Portions of the Holy Bible in the Binumarien language of Papua New Guinea","True","Copyright © 1983, 2001, 2017 Wycliffe Bible Translators, Inc.","2013-08-10","http://png.bible/bjr/","5","281","6198","27","260","7180","0","0","0","BJRWBT","True","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","bjr2001eb","","ltr","True","Andika","Binumarien Bible","978-1-5313-0086-9","Latin","2021-05-04"
"bjv","bjvNT","Bedjond","Bedjond","","ebible.org","KƗLӘ-MƗNDƗ KƗ SƗGƗ","New Testament in Bedjond (CD:bjv:Bedjond)","True","Copyright © 2011 Wycliffe Bible Translators, Inc.","2021-11-01","http://ebible.org/bjvNT/","0","0","0","27","260","7954","0","0","0","BJVWBT","True","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","bjv2011eb","","ltr","True","Gentium","Bedjond NT","978-1-5313-0087-6","Latin","2014-04-23"
"bjz","bjz","Baruga","Baruga","Tafota","png.bible","God Da Gaga Reka Re","The New Testament in the Baruga language, Tafota dialect, of Oro Province, Papua New Guinea","True","Copyright © 2017 Wycliffe Bible Translators, Inc.","2023-04-30","http://png.bible/bjz/","0","0","0","27","260","7587","0","0","0","BJZWBT","True","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","bjz2017eb","","ltr","True","DejaVu Serif","Baruga NT","","Latin","2023-02-23"
"bkd","bkd","Binukid","Binukid","","ebible.org","Lalang hu Dios","New Testament in Binukid","True","Copyright © 1986 Wycliffe Bible Translators, Inc.","2014-08-06","http://ebible.org/bkd/","0","0","0","27","260","7871","0","0","0","BKDWBT","True","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","bkd1986eb","","ltr","True","Gentium","Binukid NT","978-1-5313-0088-3","Latin","2014-07-29"
"bki","bki","Baki","Baki","","ebible.org","Verikariano Vou Na Baki","The New Testament in the Baki language of Epi, Vanuatu","True","Copyright © 2016 Wycliffe Bible Translators, Inc.","2022-03-11","http://ebible.org/bki/","0","0","0","27","260","7834","0","0","0","BKIWBT","True","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","bki2016eb","","ltr","True","DejaVu Serif","Baki NT","","Latin","2018-12-18"
"bkq","bkqNT","Bakairí","Bakairí","","ebible.org","Deus Itaumbyry","New Testament in Bakairí","True","Copyright © 2011 Wycliffe Bible Translators, Inc.","2014-04-22","http://ebible.org/bkqNT/","0","0","0","27","260","7821","0","0","0","BKQWBT","False","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","bkq2011eb","","ltr","True","Gentium","Bakairí NT","978-1-5313-0089-0","Latin","2014-04-23"
"bkx","bkx","Baikeno","Baikeno","","ebible.org","Naꞌ Markus","The Good News According to Mark in the Baikeno language of East Timor","True","Copyright © 2004 Unit Bahasa dan Budaya","2022-03-11","http://ebible.org/bkx/","0","0","0","1","16","634","0","0","0","BKXUBB","True","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","bkx2004eb","","ltr","True","DejaVu Serif","Baikeno Mark","978-1-5313-0777-6","Latin","2020-10-09"
"bla","bla","Siksiká","Blackfoot","","ebible.org","ŎKHS' I TSĬN IK SĬN NI ST. MATTHEW OT SĬN AI PI.","The Gospel According to St. Matthew in the Blackfoot language of Canada","True","public domain","2017-10-09","http://ebible.org/bla/","0","0","0","1","28","1071","0","0","0","BLACMS","True","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","bla1890eb","00200","ltr","True","DejaVu Serif","Blackfoot Matthew","","Latin","2021-11-30"
"blr","blr","Plang","Blang","","ebible.org","Plang","The New Testament in the Blang language of Myanmar","False","Copyright © 2021 Wycliffe Bible Translators, Inc.","2021-04-06","http://ebible.org/blr/","0","0","0","27","260","7950","0","0","0","BLRWBT","False","http://inscript.org/?v1=GN1_1&w1=bible&t1=local%3A","blr2021eb","","ltr","True","DejaVu Serif","Blang NT","","Latin","2021-04-07"
"blt","blt","Thai Den","Thai Den","","ebible.org","Tai Dam","Tai Dam: Tai Dam (New Testament+)","False","Copyright © 2020 Wycliffe Bible Translators, Inc.","2020-11-30","http://ebible.org/blt/","2","24","627","27","260","7864","0","0","0","BLTWBT","False","http://inscript.org/?v1=GN1_1&w1=bible&t1=local%3A","blt2020eb","","ltr","True","DejaVu Serif","Tai Dam NT","","Latin","2020-12-01"
"blw","blw","Balangao","Balangao","","ebible.org","Hen alen Apudyus","New Testament in Balangao","True","Copyright © 1982 Wycliffe Bible Translators, Inc.","2014-08-06","http://ebible.org/blw/","0","0","0","27","260","7901","0","0","0","BLWWBT","True","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","blw1982eb","","ltr","True","Gentium","Balangao NT","978-1-5313-0091-3","Latin","2014-07-29"
"blx","blx","Mag-Indi Ayata","Ayta, Mag-Indi","","ebible.org","Aytan Mag-Indi","Portions of the Holy Bible in the Ayta Mag-Indi language of  the Republic of the Philippines","False","Copyright © 2020 Wycliffe Bible Translators, Inc.","2021-03-04","http://ebible.org/blx/","0","0","0","27","260","7876","0","0","0","BLXWBT","False","http://inscript.org/?v1=GN1_1&w1=bible&t1=local%3A","blx2020eb","","ltr","True","DejaVu Serif","Ayta Mag-Indi Bible","","Latin","2021-03-05"
"blz","blzNT","Balantak","Balantak","","ebible.org","Kitap molinas men ringkat na alaata'ala: perjanjian baru","New Testament in Balantak (ID:blz:Balantak)","True","Copyright © 2010 Wycliffe Bible Translators, Inc.","2014-04-22","http://ebible.org/blzNT/","0","0","0","27","260","7956","0","0","0","BLZLAI","True","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","blz2010eb","","ltr","True","Gentium","Balantak NT","978-1-5313-0092-0","Latin","2014-04-23"
"bmh","bmh","Kein","Kein","","png.bible","Uwait nugau Ze Naliu","The New Testament in the Kein Language of Papua New Guinea","True","Copyright © 2005 Wycliffe Bible Translators, Inc.","2012-01-13","http://png.bible/bmh/","0","0","0","27","260","7694","0","0","0","BMHWBT","True","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","bmh2005eb","","ltr","True","Gentium","Kein NT","978-1-5313-0093-7","Latin","2020-10-09"
"bmk","bmk","Ghayavi","Ghayavi","","png.bible","Ghayavi Mak","The Gospel of Mark in the Ghayavi Language of Papua New Guinea","True","Copyright © 2010 Wycliffe Bible Translators, Inc.","2014-06-02","http://png.bible/bmk/","0","0","0","1","16","650","0","0","0","BMKWBT","True","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","bmk2010eb","","ltr","True","Gentium","Ghayavi Mark","978-1-5313-0094-4","Latin","2020-10-09"
"bmo","bmo","Bambalang","Bambalang","","ebible.org","Ŋwaʼaŋlɨ Kɨǹ a Fhi","Bambalang: Ŋwaʼaŋlɨ Kɨǹ a Fhi (New Testament+)","False","Copyright © 2019 Wycliffe Bible Translators, Inc.","2020-11-16","http://ebible.org/bmo/","0","0","0","27","260","7953","0","0","0","BMOWBT","False","http://inscript.org/?v1=GN1_1&w1=bible&t1=local%3A","bmo2019eb","","ltr","True","DejaVu Serif","Bambalang: Ŋwaʼaŋlɨ Kɨǹ a Fhi (New Testament+)","","Latin","2020-11-14"
"bmr","bmrNT","Muinane","Muinane","","ebible.org","Moocaani iijɨ","New Testament in Muinane (CO:bmr:Muinane)","True","Copyright © 2009 Wycliffe Bible Translators, Inc.","2014-04-30","http://ebible.org/bmrNT/","0","0","0","27","260","7931","0","0","0","BMRWBT","True","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","bmr2009eb","","ltr","True","Gentium","Muinane NT","978-1-5313-0095-1","Latin","2014-04-30"
"bmu","bmu","Burum-Mindik or Somba-Siawari","Somba-Siawari or Burum-Mindik","","png.bible","Burum-Mindik Bible","The New Testament and portions of the Old Testament in the Somba-Siawari language of Papua New Guinea, also called the Burum Mindik language.","True","Copyright © 1992, 2002 The Bible Society of Papua New Guinea","2012-11-22","http://png.bible/bmu/","3","58","1661","27","260","7937","0","0","0","BMUPNG","True","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","bmu2002eb","","ltr","True","Gentium","Somba-Siawari Bible","978-1-5313-0096-8","Latin","2020-10-09"
"bno","bno","Bantoanon","Bantoanon","","ebible.org","Bag-ong Kasuyatan ag Henesis — Exodo","Bantoanon: Bag-ong Kasuyatan ag Henesis — Exodo New Testament+","False","Copyright © 2016 Wycliffe Bible Translators, Inc.","2020-11-16","http://ebible.org/bno/","2","90","2704","27","260","7913","0","0","0","BNOWBT","False","http://inscript.org/?v1=GN1_1&w1=bible&t1=local%3A","bno2016eb","","ltr","True","DejaVu Serif","Bantoanon: Bag-ong Kasuyatan ag Henesis — Exodo New Testament+","","Latin","2020-11-14"
"bnp","bnp","Bola","Bola","","png.bible","A Nitana Vure","Genesis, Exodus, Leviticus, Numbers, Deuteronomy, Joshua, Ruth, Jonah, and the New Testament in the Bola language of Papua New Guinea","True","Copyright © 2011 Wycliffe Bible Translators, Inc.","2014-12-03","http://png.bible/bnp/","8","219","6558","27","260","7884","0","0","0","BNPWBT","True","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","bnp2011eb","","ltr","True","Andika","Bola Bible","978-1-5313-0097-5","Latin","2020-10-09"
